direct_competitor_count_500m,direct_competitor_count_1km,related_fitness_count_1km,source_index
8,42,107,590
7,30,76,591
8,38,103,592
5,32,70,593
5,27,57,594
23,50,110,595
5,36,63,596
19,49,106,597
9,40,90,598
2,20,33,599
22,42,79,600
6,40,90,601
11,27,84,602
5,38,100,603
22,50,103,604
5,44,88,605
6,43,73,606
5,44,88,607
26,50,106,608
25,50,106,609
22,53,108,610
11,55,99,611
10,21,66,612
17,48,100,613
27,50,108,614
25,50,107,615
24,46,98,616
25,52,108,617
6,44,78,618
4,19,48,619
21,39,89,620
23,44,93,621
19,51,109,622
5,30,79,623
10,38,95,624
10,37,91,625
14,43,79,626
14,26,77,627
11,53,101,628
23,55,110,629
26,51,107,630
18,44,97,631
13,21,62,632
19,45,93,633
20,48,103,634
23,44,93,635
10,37,95,636
21,52,108,637
6,40,73,638
7,49,105,639
21,44,88,640
10,36,92,641
14,48,94,642
11,23,64,643
10,39,92,644
21,52,107,645
20,51,107,646
7,37,88,647
14,25,68,648
25,46,85,649
28,51,104,650
20,35,81,651
27,47,93,652
28,50,104,653
10,37,91,655
5,44,88,656
26,46,90,657
20,44,85,658
7,21,55,659
9,28,65,660
10,38,96,661
25,50,106,662
19,51,109,663
5,28,74,664
21,52,102,665
2,15,43,666
11,23,41,667
14,41,79,668
2,22,57,669
17,48,100,670
15,49,111,671
5,32,76,672
20,47,97,673
0,49,79,674
11,31,72,675
5,44,88,676
10,32,59,677
5,30,67,678
14,41,79,679
17,48,99,680
7,29,75,681
11,53,101,682
24,46,95,683
5,28,74,684
23,46,94,685
3,15,41,686
16,50,102,687
6,26,67,688
19,51,107,689
21,46,95,690
11,53,101,691
6,47,103,692
17,48,91,693
28,50,104,694
8,31,56,695
19,53,108,696
11,36,99,697
20,35,81,698
21,42,90,699
3,45,98,700
26,51,105,701
10,19,61,702
25,46,89,703
27,49,100,704
7,34,76,705
20,47,97,706
13,52,105,707
10,57,98,708
21,52,108,709
10,35,84,710
13,26,82,711
23,46,94,712
2,22,57,713
9,24,58,714
10,24,56,715
20,44,81,716
6,13,28,717
16,32,69,718
11,31,82,719
10,45,82,720
33,64,115,722
9,21,40,724
13,40,71,725
13,39,73,726
13,25,50,727
11,36,84,728
14,30,60,729
14,29,59,730
16,41,73,731
29,57,99,732
14,35,68,733
14,60,112,734
9,26,78,735
14,35,66,736
14,49,89,737
21,63,117,738
21,42,74,739
15,31,64,740
19,64,115,741
9,26,78,742
14,49,89,743
15,44,91,744
14,34,66,745
13,32,78,746
5,22,52,747
10,45,96,748
5,57,104,749
20,44,72,750
7,51,100,751
11,31,52,752
29,66,120,753
13,32,55,754
18,60,114,755
22,66,124,756
15,43,73,757
19,46,82,758
16,60,106,759
10,33,54,760
7,26,77,761
15,41,71,762
18,59,107,763
9,30,51,764
28,62,115,765
7,45,88,766
7,41,74,767
22,38,69,768
13,41,73,769
10,31,83,770
5,8,21,771
10,45,96,772
7,52,99,773
29,56,98,774
22,38,69,775
11,30,50,776
39,60,105,777
9,23,53,778
39,63,111,779
19,37,65,780
7,19,38,781
17,32,67,782
9,38,91,783
20,48,79,784
33,59,105,785
12,41,67,786
11,36,87,787
9,36,89,788
22,62,115,789
20,66,123,790
7,33,73,791
10,29,59,792
13,41,73,793
8,46,89,794
14,31,64,795
2,28,74,796
22,49,87,797
10,27,58,798
6,10,23,799
14,31,62,800
29,53,88,801
30,59,103,802
23,34,64,803
13,28,60,804
33,54,95,805
8,29,79,806
13,37,60,807
10,31,81,808
23,57,100,809
29,63,116,810
5,8,21,811
39,58,102,812
13,29,80,813
9,30,81,814
15,33,65,815
15,31,64,816
3,6,18,817
13,28,54,818
7,52,99,819
9,43,95,820
6,28,64,821
11,22,46,822
10,35,87,823
9,33,55,824
10,42,95,825
12,42,70,826
13,30,60,827
34,64,117,828
27,55,92,829
12,39,69,830
23,46,77,831
14,33,64,832
13,29,58,833
29,59,101,834
21,65,123,835
11,32,83,836
19,49,80,837
13,30,81,838
20,48,82,839
14,48,97,840
14,48,90,841
11,29,77,842
5,47,111,843
11,35,83,844
26,47,79,845
20,44,72,846
10,29,79,847
11,40,86,848
24,46,80,849
33,64,115,850
22,49,79,851
15,57,102,852
8,44,80,853
11,30,74,854
20,60,108,855
16,60,106,856
21,63,111,857
11,41,102,858
8,22,46,859
5,27,55,860
14,29,60,861
11,27,56,862
9,58,108,863
20,48,78,864
5,21,48,865
16,41,72,866
23,43,75,867
11,44,95,868
33,53,92,869
12,44,82,870
30,62,107,871
14,30,49,872
14,29,59,873
12,42,79,874
22,66,124,875
23,46,78,876
29,59,101,877
33,55,98,878
30,58,102,879
33,55,98,880
4,47,111,881
15,56,100,882
13,32,78,883
5,20,56,884
10,36,74,885
16,34,71,886
31,56,96,887
6,13,28,888
13,32,90,889
38,64,116,890
19,49,84,891
33,53,92,892
14,30,61,893
10,33,85,894
11,33,86,895
7,41,74,896
10,25,51,897
6,10,25,898
12,37,65,899
7,36,70,900
14,39,78,901
13,34,79,902
25,63,117,903
12,38,91,904
9,21,31,905
13,37,94,906
6,27,71,907
25,60,106,908
7,33,73,909
10,44,84,910
39,60,105,911
12,40,66,912
12,35,89,913
20,64,115,914
21,60,114,915
9,41,72,916
13,33,62,917
15,39,74,918
18,60,114,919
26,47,79,920
16,56,101,921
3,6,18,922
21,48,78,923
6,48,91,924
15,51,93,925
12,37,68,926
26,49,85,927
33,55,98,928
37,60,106,929
6,26,71,930
11,30,50,931
12,44,72,932
11,29,77,933
21,50,88,934
21,63,111,935
6,47,94,936
5,42,86,937
8,34,74,938
9,26,78,939
12,37,92,940
12,31,91,941
14,42,102,942
3,6,18,943
14,45,93,944
13,35,69,945
11,32,83,946
14,52,89,947
12,31,91,948
19,64,115,949
8,29,79,950
8,29,79,951
6,24,66,952
17,60,106,953
5,47,111,954
8,29,79,955
15,47,96,956
9,26,78,957
7,33,50,958
20,48,82,959
11,44,90,960
18,59,107,961
11,36,84,962
6,27,61,963
28,63,116,964
8,29,79,965
14,31,61,966
11,23,48,967
12,26,54,968
21,48,80,969
16,38,74,970
6,47,94,971
13,30,60,972
12,25,49,973
7,22,32,974
11,47,80,975
11,37,83,977
11,23,48,978
13,31,61,979
10,38,88,980
8,36,80,981
20,43,78,982
4,20,36,983
11,33,63,984
21,37,71,985
7,59,103,986
13,58,114,987
4,34,75,988
13,33,72,989
9,37,82,991
20,35,72,992
18,55,81,993
12,27,62,994
12,30,68,995
12,39,82,996
0,10,26,997
4,34,75,998
13,58,114,999
20,35,72,1000
17,42,71,1001
13,30,69,1002
22,34,54,1003
9,20,55,1004
5,15,32,1005
2,24,45,1006
12,27,62,1007
17,39,64,1008
20,43,78,1009
12,39,82,1010
11,23,57,1011
7,28,48,1012
19,45,80,1013
7,30,51,1014
2,32,57,1015
5,39,71,1016
13,30,69,1017
22,40,77,1018
21,38,75,1019
14,51,95,1020
9,20,55,1021
13,41,68,1022
21,37,71,1023
23,34,54,1024
20,37,57,1025
7,30,51,1026
5,39,71,1027
6,28,49,1028
16,41,77,1029
7,28,65,1030
11,46,77,1031
12,35,82,1032
5,13,30,1033
17,43,73,1034
4,14,27,1035
5,38,81,1036
2,25,42,1037
16,34,76,1038
9,60,107,1039
18,34,71,1040
21,38,72,1041
8,37,60,1042
18,33,69,1043
13,29,50,1044
18,41,71,1045
16,43,81,1046
18,34,53,1047
22,55,85,1048
23,57,87,1049
12,32,53,1050
9,36,82,1051
8,60,107,1053
14,41,88,1054
4,37,80,1055
20,37,57,1056
16,44,81,1057
23,40,77,1058
21,33,51,1059
9,32,59,1060
19,37,57,1061
5,28,56,1062
14,31,57,1063
18,33,51,1064
18,55,81,1065
21,54,80,1066
12,33,80,1067
23,31,52,1068
12,31,52,1069
20,37,57,1070
8,28,67,1071
12,29,45,1072
10,31,57,1073
18,41,71,1074
13,30,76,1075
12,42,67,1076
7,30,51,1077
6,26,44,1078
9,33,59,1079
11,29,50,1080
14,31,52,1081
10,38,65,1082
22,33,54,1083
6,26,44,1084
11,27,60,1085
19,45,82,1086
5,10,22,1087
8,32,61,1088
15,57,86,1089
9,30,52,1090
11,21,48,1091
20,36,54,1094
19,53,86,1095
14,28,52,1096
16,35,64,1097
7,31,53,1098
20,44,80,1099
12,28,53,1100
23,34,54,1101
11,23,58,1102
6,48,82,1103
8,36,80,1104
11,30,51,1105
14,49,83,1106
23,34,55,1107
15,33,49,1108
6,49,105,1109
16,35,55,1110
11,25,49,1111
12,27,62,1112
19,45,82,1113
16,54,88,1114
17,50,78,1115
20,36,54,1116
17,36,72,1117
12,35,70,1118
14,28,52,1119
17,50,78,1120
9,23,54,1121
23,37,57,1122
9,37,82,1123
22,34,55,1124
13,29,52,1125
7,28,65,1126
17,43,78,1127
15,39,64,1128
16,34,55,1129
10,28,66,1130
13,29,52,1131
12,31,53,1132
17,43,79,1133
17,32,52,1134
20,46,80,1135
1,16,29,1136
17,49,78,1137
3,18,30,1138
12,33,53,1139
6,35,59,1140
13,36,72,1141
16,53,87,1142
8,48,96,1143
14,31,52,1144
9,51,83,1145
16,39,72,1146
6,27,54,1147
6,49,105,1148
10,41,84,1149
20,43,78,1150
21,46,84,1151
11,31,65,1152
6,27,46,1153
16,43,85,1154
11,56,98,1155
1,13,31,1156
19,36,54,1157
5,13,30,1158
2,20,38,1159
5,13,29,1160
19,59,87,1161
21,43,81,1162
16,56,82,1163
22,49,83,1164
21,38,75,1165
21,38,75,1166
6,28,63,1167
14,31,57,1168
18,34,71,1169
1,16,29,1170
6,27,47,1171
11,29,66,1172
17,49,85,1173
5,34,66,1174
14,42,69,1175
3,18,34,1176
15,33,53,1177
14,35,77,1181
14,51,78,1182
7,31,53,1183
5,37,71,1184
18,37,72,1185
3,18,33,1186
13,40,65,1187
21,36,54,1188
13,41,68,1189
12,42,67,1190
20,35,72,1191
1,16,34,1192
10,41,84,1193
20,46,81,1194
5,9,23,1195
18,38,70,1196
20,43,84,1197
11,32,73,1198
17,33,69,1200
14,30,57,1201
6,28,63,1202
6,30,51,1203
2,16,29,1204
6,31,50,1205
4,14,27,1206
19,53,81,1207
9,26,48,1208
6,33,71,1209
11,35,80,1210
15,48,80,1211
11,32,48,1212
4,14,27,1213
20,48,83,1214
2,25,42,1215
22,34,54,1216
7,34,68,1217
12,33,62,1218
14,30,57,1219
25,50,80,1220
5,37,70,1221
23,38,74,1222
14,30,54,1223
18,33,49,1224
8,36,82,1225
8,46,93,1226
5,15,32,1227
18,37,72,1228
21,36,54,1229
15,52,84,1230
9,26,48,1231
20,44,79,1232
10,36,80,1233
18,44,86,1234
17,37,54,1235
11,23,57,1236
16,35,55,1237
9,35,73,1238
5,25,50,1239
3,20,48,1240
4,29,65,1241
6,21,41,1242
16,32,70,1243
10,14,27,1244
3,10,25,1245
4,18,47,1246
6,26,47,1247
6,14,32,1248
10,14,29,1249
8,30,67,1250
2,9,18,1251
5,24,49,1252
8,22,43,1253
5,37,84,1254
8,20,41,1255
12,31,75,1256
14,25,51,1257
11,31,73,1258
8,25,49,1259
8,22,44,1260
3,21,50,1261
8,38,76,1262
15,39,81,1263
5,24,49,1264
8,29,57,1265
7,23,45,1266
4,21,47,1267
8,20,37,1268
6,25,44,1269
13,22,45,1270
2,10,26,1271
8,18,34,1272
5,40,84,1273
12,31,75,1274
7,35,83,1275
6,25,43,1276
8,20,37,1277
4,26,47,1278
13,27,56,1279
13,27,56,1280
14,40,82,1281
11,14,29,1282
5,26,49,1283
15,35,77,1284
10,14,29,1285
6,24,50,1286
3,22,52,1287
10,23,48,1288
15,39,85,1289
15,39,85,1290
8,25,48,1291
7,14,35,1292
8,28,55,1293
4,21,46,1294
8,35,76,1295
8,38,76,1296
8,30,63,1297
3,21,51,1298
4,22,53,1299
3,17,29,1300
8,23,47,1301
15,40,87,1302
9,37,74,1303
10,39,77,1304
18,34,73,1305
8,25,49,1306
7,25,47,1307
10,17,34,1308
9,24,44,1309
14,35,78,1310
5,37,78,1311
10,27,52,1312
2,6,17,1313
5,24,49,1314
6,38,79,1315
2,4,12,1316
15,40,78,1317
8,27,50,1318
7,14,35,1319
8,20,37,1320
2,10,26,1321
9,40,75,1322
6,24,50,1323
13,25,49,1324
8,21,41,1325
2,14,34,1326
6,18,41,1327
6,14,32,1328
5,29,64,1329
3,9,23,1330
13,25,50,1331
9,39,83,1332
2,3,11,1333
8,20,41,1334
11,26,50,1335
6,21,38,1336
6,18,42,1337
2,35,70,1338
6,33,55,1339
8,21,41,1340
5,24,50,1341
3,20,39,1342
7,11,30,1343
3,10,25,1344
16,38,84,1345
3,23,53,1346
3,21,51,1347
3,9,23,1348
3,26,48,1349
11,26,50,1350
5,39,82,1351
15,26,52,1352
7,18,34,1353
16,34,78,1354
16,37,82,1355
13,25,49,1356
6,13,33,1357
6,14,32,1358
9,20,37,1359
5,22,41,1360
8,23,47,1361
6,36,73,1362
16,37,83,1363
9,17,32,1364
2,8,20,1365
4,22,52,1366
10,22,43,1367
10,14,29,1369
5,40,84,1370
10,27,54,1371
4,20,48,1372
12,25,46,1374
11,25,46,1375
10,17,34,1376
9,24,46,1377
8,40,84,1378
1,20,47,1379
11,41,75,1380
15,38,85,1381
8,20,40,1382
8,29,61,1383
8,26,50,1384
14,38,81,1385
16,36,81,1386
9,35,74,1387
12,41,78,1388
16,26,53,1389
5,36,67,1390
3,18,34,1391
11,25,45,1392
6,18,43,1393
10,28,57,1394
6,27,55,1395
1,20,47,1396
9,24,44,1397
5,24,45,1398
9,27,67,1399
6,18,42,1400
14,27,55,1401
10,15,33,1402
10,14,29,1403
1,12,30,1404
14,36,78,1405
1,12,30,1406
16,37,78,1407
7,22,46,1408
16,38,84,1409
15,26,52,1410
10,25,50,1411
13,38,77,1412
6,25,45,1413
3,23,54,1414
7,24,52,1415
7,22,38,1416
16,38,84,1417
3,21,50,1418
10,14,29,1419
13,27,56,1420
2,10,26,1421
10,24,43,1422
10,14,30,1423
2,10,25,1424
6,26,54,1425
14,39,80,1426
15,38,82,1427
13,27,55,1428
30,49,97,1429
7,51,80,1430
13,31,57,1431
4,22,43,1433
7,32,58,1434
4,19,43,1435
10,45,92,1436
4,22,43,1437
8,40,82,1438
10,23,40,1439
21,53,108,1440
26,50,97,1442
7,32,58,1443
7,27,55,1444
11,34,66,1445
27,51,105,1446
14,27,60,1447
3,41,83,1448
1,12,26,1449
7,20,43,1450
10,18,31,1451
24,46,89,1452
12,31,57,1453
16,49,100,1454
8,35,69,1455
13,26,51,1456
7,23,47,1457
7,46,71,1458
2,16,33,1459
11,32,63,1460
9,22,44,1461
19,51,102,1462
33,52,101,1463
4,14,31,1464
6,30,60,1465
13,40,70,1466
8,22,44,1467
24,49,94,1468
9,14,34,1469
16,48,97,1471
18,44,89,1472
8,18,39,1473
8,18,35,1474
11,26,53,1475
6,31,63,1476
3,17,34,1477
7,49,91,1479
10,21,43,1480
4,11,25,1481
7,37,75,1482
7,46,73,1483
11,22,44,1484
11,29,52,1485
15,52,79,1486
11,32,63,1487
7,24,48,1489
4,19,43,1490
16,49,100,1491
6,23,48,1492
27,56,106,1493
9,23,46,1494
30,50,99,1495
7,19,39,1496
10,20,34,1497
6,51,78,1498
9,20,35,1499
2,18,35,1500
18,58,116,1501
12,52,102,1502
8,31,58,1503
9,21,44,1504
6,31,63,1505
8,21,43,1506
24,46,89,1507
6,49,101,1508
11,29,52,1509
9,23,46,1510
